Owner,Ticker,Asset Name,Transaction Type,Transaction Date,Amount,Comments
Self,BNDX,Vanguard Total International Bond ETF,Purchase,11/14/2023,"$1,001 - $15,000",n/a
Self,VFH,Vanguard Financials ETF,Sale (Partial),11/14/2023,"$1,001 - $15,000",n/a
Self,VMBS,Vanguard Mortgage-Backed Securities ETF,Purchase,11/14/2023,"$15,001 - $50,000",n/a
Self,BND,Vanguard Total Bond Market ETF,Sale (Partial),11/14/2023,"$15,001 - $50,000",n/a
Self,VCR,Vanguard Consumer Discretion ETF,Sale (Partial),11/14/2023,"$1,001 - $15,000",n/a
Self,VGT,Vanguard Information Tech ETF,Sale (Partial),11/14/2023,"$1,001 - $15,000",n/a
Self,BSV,Vanguard Short-Term Bond ETF,Purchase,11/14/2023,"$1,001 - $15,000",n/a
Self,VCR,Vanguard Consumer Discretion ETF,Sale (Partial),06/15/2023,"$1,001 - $15,000",n/a
Self,SPHY,SPDR Portfolio High Yield Bond ETF,Purchase,06/15/2023,"$100,001 - $250,000",n/a
Self,BSV,Vanguard Short-Term Bond ETF,Purchase,06/15/2023,"$15,001 - $50,000",n/a
Self,VFH,Vanguard Financials ETF,Purchase,06/15/2023,"$1,001 - $15,000",n/a
Self,IAU,Gold Trust Ishares,Purchase,06/15/2023,"$1,001 - $15,000",n/a
Self,VWO,Vanguard FTSE Emerging Markets ETF,Sale (Partial),06/15/2023,"$1,001 - $15,000",n/a
Self,VHT,Vanguard Health Care ETF,Purchase,06/15/2023,"$1,001 - $15,000",n/a
Self,VNQ,Vanguard Real Estate ETF,Purchase,06/15/2023,"$1,001 - $15,000",n/a
Self,VEA,Vanguard FTSE Developed Markets ETF,Sale (Partial),06/15/2023,"$1,001 - $15,000",n/a
Self,VOX,Vanguard Communication Services  ETF,Sale (Partial),06/15/2023,"$1,001 - $15,000",n/a
Self,VO,Vanguard Mid-Cap ETF,Sale (Partial),06/15/2023,"$1,001 - $15,000",n/a
Self,BNDX,Vanguard Total International Bond ETF,Purchase,06/15/2023,"$1,001 - $15,000",n/a
Self,VGT,Vanguard Information Tech ETF,Sale (Partial),06/15/2023,"$15,001 - $50,000",n/a
Self,BND,Vanguard Total Bond Market ETF,Purchase,06/15/2023,"$15,001 - $50,000",n/a
Self,VMBS,Vanguard Mortgage-Backed Securities ETF,Purchase,06/15/2023,"$1,001 - $15,000",n/a
Self,VIS,Vanguard Industrials ETF,Sale (Partial),06/15/2023,"$1,001 - $15,000",n/a
Self,VB,Vanguard Small-Cap ETF,Sale (Partial),06/15/2023,"$1,001 - $15,000",n/a
Self,VTIP,Vanguard Short-Term Inflation-Protected Securities,Purchase,06/15/2023,"$15,001 - $50,000",n/a
Self,VNQI,Vanguard Global ex-U.S. Real Estate ETF,Purchase,06/15/2023,"$1,001 - $15,000",n/a
Self,JNK,SPDR Bloomberg High Yield Bond ETF,Sale (Full),06/15/2023,"$100,001 - $250,000",n/a
Self,VDE,Vanguard Energy ETF,Purchase,06/15/2023,"$1,001 - $15,000",n/a
Self,VOX,Vanguard Communication Services  ETF,Purchase,01/17/2023,"$1,001 - $15,000",n/a
Self,VWO,Vanguard FTSE Emerging Markets ETF,Sale (Partial),01/17/2023,"$1,001 - $15,000",n/a
Self,VEA,Vanguard FTSE Developed Markets ETF,Sale (Partial),01/17/2023,"$1,001 - $15,000",n/a
Self,IAU,Gold Trust Ishares,Sale (Partial),01/17/2023,"$1,001 - $15,000",n/a
Self,BND,Vanguard Total Bond Market ETF,Purchase,01/17/2023,"$1,001 - $15,000",n/a
Self,VTIP,Vanguard Short-Term Inflation-Protected Securities,Purchase,01/17/2023,"$1,001 - $15,000",n/a
Self,VNQ,Vanguard Real Estate ETF,Purchase,01/17/2023,"$1,001 - $15,000",n/a
Self,VDE,Vanguard Energy ETF,Sale (Partial),01/17/2023,"$1,001 - $15,000",n/a
Self,VGT,Vanguard Information Tech ETF,Purchase,01/17/2023,"$1,001 - $15,000",n/a
Self,BNDX,Vanguard Total International Bond ETF,Purchase,01/17/2023,"$1,001 - $15,000",n/a
Self,VFH,Vanguard Financials ETF,Sale (Partial),01/17/2023,"$1,001 - $15,000",n/a
Self,VIS,Vanguard Industrials ETF,Sale (Partial),01/17/2023,"$1,001 - $15,000",n/a
Self,VHT,Vanguard Health Care ETF,Sale (Partial),01/17/2023,"$1,001 - $15,000",n/a
Self,VCR,Vanguard Consumer Discretion ETF,Purchase,01/17/2023,"$1,001 - $15,000",n/a
Self,VMBS,Vanguard Mortgage-Backed Securities ETF,Purchase,01/17/2023,"$1,001 - $15,000",n/a
